# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	49298
#@/user_id	stella
a 	啊	c=109 d=5.39376 t=49298
he kai wen 	何凱文	c=1 d=0.000443861 t=49298
he kuang 	何況	c=0 d=4.80077e-16 t=49298
he kuang ge liang xiang 	何況隔兩鄉	c=1 d=4.82483e-15 t=49298
he lan 	荷蘭	c=2 d=0.652764 t=49298
he le 	喝了	c=3 d=0.848395 t=49298
he li 	合力	c=0 d=0.0084163 t=49298
he li 	合理	c=4 d=0.419451 t=49298
he li bu ju 	合理佈局	c=1 d=0.88692 t=49298
he li gui hua 	合理規劃	c=1 d=0.657047 t=49298
he li qu jian 	合理區間	c=1 d=0.364219 t=49298
he li xing 	合理性	c=1 d=1.82305e-06 t=49298
he liang 	河梁	c=0 d=0.0802519 t=49298
he liao 	喝了	c=1 d=0.0359725 t=49298
he liu 	河流	c=1 d=1.71746e-10 t=49298
he luo 	河洛	c=0 d=0.00581343 t=49298
he mei 	核酶	c=3 d=0.865022 t=49298
he miao 	禾苗	c=1 d=0.0555762 t=49298
he mo 	核膜	c=1 d=0.767206 t=49298
he nai 	喝奶	c=1 d=0.865022 t=49298
he nan 	河南	c=10 d=2.0168 t=49298
he nan bo wu yuan 	河南博物院	c=1 d=0.00027603 t=49298
he nan hao ne 	河南好呢	c=-1 d=2.2106e-09 t=49298
he nan shang bao 	河南商報	c=1 d=0.0065062 t=49298
he nan sheng 	河南省	c=8 d=3.26566 t=49298
he nan yi xue yuan 	河南醫學院	c=1 d=0.782705 t=49298
he nan zheng zhou 	河南鄭州	c=1 d=3.07383e-05 t=49298
he neng 	核能	c=2 d=1.03005 t=49298
he nian 	何年	c=0 d=3.86293e-14 t=49298
he pan 	河畔	c=0 d=6.84327e-10 t=49298
he ping 	和平	c=0 d=0.000130703 t=49298
he ping wen ding 	和平穩定	c=1 d=0.00131358 t=49298
he pu 	合撲	c=0 d=0.083527 t=49298
he pu wo te 	合撲沃特	c=-1 d=0.839457 t=49298
he pu wo te wu de 	合撲沃特伍德	c=-1 d=0 t=49298
he pu wo te wu de o de 	合撲沃特伍德噢的	c=-1 d=0 t=49298
he pu wo te wu de o de ci le 	合撲沃特伍德噢的賜了	c=-1 d=0 t=49298
he qi li shu dao ci zhong 	何期曆數到此終	c=1 d=0.923116 t=49298
he ren 	何人	c=0 d=1.08604e-14 t=49298
he ren 	核仁	c=0 d=0.136097 t=49298
he ren bu qi gu yuan qing 	何人不起故園情	c=1 d=2.58879e-14 t=49298
he ren xiao 	核仁小	c=1 d=0.677057 t=49298
he se 	褐色	c=1 d=0.0183156 t=49298
he shen 	合身	c=1 d=1.00532 t=49298
he sheng 	和聲	c=1 d=0.66034 t=49298
he shi 	何時	c=3 d=0.701555 t=49298
he shi 	合適	c=4 d=0.655528 t=49298
he shou ti 	核受體	c=2 d=0.412731 t=49298
he shui 	喝水	c=1 d=4.52904e-06 t=49298
he shui 	河水	c=1 d=4.43936e-06 t=49298
he suan 	核酸	c=32 d=1.47573 t=49298
he suan 	覈算	c=1 d=7.77319e-08 t=49298
he suan lian 	核酸鏈	c=1 d=0.0972957 t=49298
he suan mei 	核酸酶	c=2 d=0.109701 t=49298
he suan nei qie mei 	核酸內切酶	c=3 d=0.252473 t=49298
he suan wai qie mei 	核酸外切酶	c=2 d=0.245533 t=49298
he suo 	何所	c=0 d=7.75444e-10 t=49298
he tang 	核糖	c=2 d=0.107382 t=49298
he tang he gan 	核糖核苷	c=2 d=0.174079 t=49298
he tang he suan 	核糖核酸	c=0 d=0.0188247 t=49298
he tang he suan mei 	核糖核酸酶	c=1 d=0.189191 t=49298
he tang ti 	核糖體	c=8 d=1.39578 t=49298
he tao 	核桃	c=1 d=0.271173 t=49298
he ting fu zhu 	鶴汀鳧渚	c=1 d=2.7281e-13 t=49298
he tong 	合同	c=1 d=0.509156 t=49298
he wei 	何爲	c=0 d=1.07863e-09 t=49298
he wei qi ran ye 	何爲其然也	c=1 d=9.49905e-14 t=49298
he wen ti 	核問題	c=0 d=0.000141589 t=49298
he xian 	和絃	c=3 d=0.106979 t=49298
he xiang pi 	和橡皮	c=-1 d=4.8725e-13 t=49298
he xiao 	核小	c=1 d=0.597501 t=49298
he xiao ti 	核小體	c=6 d=0.961668 t=49298
he xie 	和諧	c=1 d=0.110749 t=49298
he xie fa zhan 	和諧發展	c=0 d=0.0615697 t=49298
he xie gong sheng 	和諧共生	c=1 d=0.946485 t=49298
he xin 	核心	c=6 d=0.941239 t=49298
he xin jia gou 	核心架構	c=1 d=8.11551e-15 t=49298
he xin ke li 	核心顆粒	c=2 d=0.344862 t=49298
he xin long tou 	核心龍頭	c=1 d=0.120032 t=49298
he xin wei 	核心爲	c=-1 d=6.8256e-08 t=49298
he xin wei zhi 	核心位置	c=2 d=0.453845 t=49298
he xin wen ti 	核心問題	c=1 d=0.113042 t=49298
he xin wu 	核心無	c=-1 d=0 t=49298
he xin yi shi 	核心意識	c=1 d=0.557106 t=49298
he xin zhi du 	核心制度	c=1 d=0.529935 t=49298
he xin zu dan bai 	核心組蛋白	c=1 d=0.172907 t=49298
he xu 	何許	c=0 d=5.98213e-16 t=49298
he yan 	何晏	c=1 d=0.640824 t=49298
he yang 	河陽	c=0 d=5.69037e-16 t=49298
he yang shi jing xian 	河陽視京縣	c=1 d=5.7189e-15 t=49298
he yi 	何以	c=1 d=0.0862936 t=49298
he yi 	合一	c=0 d=0.0466879 t=49298
he yi le 	何以了	c=-1 d=1.72579e-08 t=49298
he yi wen 	何毅文	c=2 d=0.0517988 t=49298
he yi yu bu wu 	和易於不無	c=-1 d=0 t=49298
he ying 	合影	c=1 d=0.470011 t=49298
he you 	核有	c=-1 d=8.98612e-08 t=49298
he yuan 	荷園	c=2 d=0.125992 t=49298
he zai 	何在	c=1 d=0.423162 t=49298
he zhang 	河長	c=1 d=0.767206 t=49298
he zi 	赫茲	c=1 d=2.35947e-11 t=49298
he zuo 	合作	c=4 d=2.93725 t=49298
he zuo gong ying 	合作共贏	c=1 d=0.267135 t=49298
hei 	黑	c=2 d=0.603729 t=49298
hei ban 	黑板	c=0 d=0.0418952 t=49298
hei dong dong 	黑洞洞	c=1 d=0.67368 t=49298
hei hei 	嘿嘿	c=2 d=0.755784 t=49298
hei hong 	黑紅	c=1 d=0.00524752 t=49298
hei jing 	黑鏡	c=1 d=0.66365 t=49298
hei ping guo 	黑蘋果	c=1 d=4.15998e-06 t=49298
hei ti 	黑體	c=3 d=1.48409 t=49298
hen 	很	c=13 d=1.73941 t=49298
hen 	恨	c=0 d=0.0865022 t=49298
hen bie niao jing xin 	恨別鳥驚心	c=1 d=1.46403e-14 t=49298
hen bu fang xin 	很不放心	c=1 d=0.0930145 t=49298
hen chang 	很長	c=1 d=0.416862 t=49298
hen da 	很大	c=5 d=0.900365 t=49298
hen di 	很低	c=3 d=0.297668 t=49298
hen duan 	很短	c=1 d=0.436049 t=49298
hen duo 	很多	c=13 d=1.87731 t=49298
hen duo bian 	很多遍	c=1 d=0.0443785 t=49298
hen duo fang mian 	很多方面	c=1 d=0.229925 t=49298
hen duo ren 	很多人	c=1 d=0.242926 t=49298
hen duo shi hou 	很多時候	c=1 d=0.582748 t=49298
hen duo zi 	很多字	c=1 d=0.218712 t=49298
hen fa 	很發	c=-1 d=1.15702e-10 t=49298
hen fa o 	很發哦	c=-1 d=1.15125e-10 t=49298
hen gao 	很高	c=1 d=0.0464212 t=49298
hen gao xing 	很高興	c=2 d=0.196098 t=49298
hen hao 	很好	c=3 d=1.01064 t=49298
hen hao de 	很好的	c=1 d=0.000769323 t=49298
hen hao di 	很好地	c=1 d=0.257947 t=49298
hen jiu 	很久	c=1 d=0.211189 t=49298
hen ke neng 	很可能	c=0 d=2.87636e-11 t=49298
hen man 	很慢	c=4 d=1.19028 t=49298
hen nan 	很難	c=2 d=0.597501 t=49298
hen pu bian 	很普遍	c=1 d=0.0391639 t=49298
hen qiang 	很強	c=1 d=0.0254765 t=49298
hen quan 	很全	c=1 d=0.0288686 t=49298
hen shao 	很少	c=1 d=0.557106 t=49298
hen xiao 	很小	c=1 d=0.366045 t=49298
hen you 	很有	c=1 d=0.000720907 t=49298
hen you ke neng 	很有可能	c=1 d=0.0776922 t=49298
hen yuan 	很遠	c=1 d=0.650509 t=49298
hen zhong yao 	很重要	c=1 d=0.12938 t=49298
hen zu 	很足	c=1 d=0.0713613 t=49298
heng 	哼	c=1 d=0.0939493 t=49298
heng 	恆	c=0 d=1.30095e-08 t=49298
heng 	橫	c=0 d=3.72721e-14 t=49298
heng chuan 	橫穿	c=1 d=0.00305798 t=49298
heng ding 	恆定	c=1 d=0.946485 t=49298
heng duan mian 	橫斷面	c=0 d=2.05378e-13 t=49298
heng duan mian fen xi 	橫斷面分析	c=1 d=1.3113e-12 t=49298
heng duan mian yan jiu 	橫斷面研究	c=3 d=5.78753e-11 t=49298
heng gao 	蘅皋	c=0 d=0.00536647 t=49298
heng jiang dong lai 	橫江東來	c=1 d=1.86564e-13 t=49298
heng liang 	衡量	c=1 d=0.130029 t=49298
heng shuo fu shi 	橫槊賦詩	c=1 d=1.06567e-13 t=49298
heng xian 	橫線	c=1 d=0.927743 t=49298
heng yang 	衡陽	c=0 d=3.01502e-14 t=49298
heng zhe 	橫着	c=2 d=0.0478349 t=49298
heng zhou 	橫軸	c=1 d=0.29671 t=49298
hong 	紅	c=3 d=0.580069 t=49298
hong bao 	紅包	c=0 d=5.87066e-30 t=49298
hong cha 	紅茶	c=1 d=0.00631391 t=49298
hong du xin fu 	洪都新府	c=1 d=2.21136e-13 t=49298
hong fen 	紅粉	c=0 d=6.98151e-10 t=49298
hong gu sui 	紅骨髓	c=1 d=0.00219846 t=49298
hong guan 	宏觀	c=1 d=0.499074 t=49298
hong guan zheng ce 	宏觀政策	c=0 d=0.0752014 t=49298
hong guan zheng ce xie tiao 	宏觀政策協調	c=1 d=0.755784 t=49298
hong hu 	鴻鵠	c=0 d=9.00937e-10 t=49298
hong ji 	宏集	c=3 d=1.5253 t=49298
hong ji 	洪基	c=0 d=0.00159229 t=49298
hong li 	紅利	c=0 d=0.0224249 t=49298
hong liu 	洪流	c=0 d=0.0179691 t=49298
hong liu bu xi 	洪流不息	c=1 d=0.0862936 t=49298
hong lun 	紅輪	c=0 d=0.0771052 t=49298
hong lun xi zhui xian chi pang 	紅輪西墜咸池旁	c=1 d=0.774916 t=49298
hong lv deng 	紅綠燈	c=1 d=0.255381 t=49298
hong qi 	紅旗	c=1 d=0.0858632 t=49298
hong qi gong 	洪七公	c=2 d=0.157382 t=49298
hong quan yi 	紅權益	c=1 d=0.909373 t=49298
hong ran 	訇然	c=0 d=2.11953e-15 t=49298
hong ran zhong kai 	訇然中開	c=1 d=2.13015e-14 t=49298
hong ri 	紅日	c=0 d=0.0755784 t=49298
hong se 	紅色	c=0 d=0.0315058 t=49298
hong se xue mai 	紅色血脈	c=1 d=0.316637 t=49298
hong shao rou 	紅燒肉	c=1 d=7.37625e-09 t=49298
hong shui 	洪水	c=1 d=5.20681e-29 t=49298
hong sui 	紅髓	c=1 d=0.0169075 t=49298
hong tao 	紅桃	c=0 d=9.2885e-16 t=49298
hong tao lv liu chui yan xiang 	紅桃綠柳垂檐向	c=1 d=9.33506e-15 t=49298
hong wai 	紅外	c=1 d=0.516851 t=49298
hong wai fu she 	紅外輻射	c=1 d=2.76886e-11 t=49298
hong wai guang 	紅外光	c=3 d=1.55942 t=49298
hong wai guang pu 	紅外光譜	c=1 d=0.501576 t=49298
hong wei 	宏偉	c=0 d=0.0733447 t=49298
hong wei mu biao 	宏偉目標	c=1 d=0.737123 t=49298
hong xi 	紅系	c=1 d=0.00382958 t=49298
hong xi bao 	紅細胞	c=2 d=3.25933e-05 t=49298
hong yan 	鴻雁	c=0 d=4.48703e-15 t=49298
hong yan chang fei guang bu du 	鴻雁長飛光不度	c=1 d=4.50952e-14 t=49298
hong yang 	弘揚	c=0 d=0.0438235 t=49298
hong yu hei 	紅與黑	c=1 d=6.79156e-08 t=49298
hong zhou 	紅軸	c=2 d=1.51962 t=49298
hou 	候	c=1 d=1.30007e-14 t=49298
hou 	厚	c=0 d=0.00682212 t=49298
hou 	後	c=54 d=1.9742 t=49298
hou ban duan 	後半段	c=1 d=0.474734 t=49298
hou ban ju 	後半句	c=1 d=0.0437178 t=49298
hou bian 	後邊	c=4 d=0.609571 t=49298
hou chi bi fu 	後赤壁賦	c=1 d=1.396e-13 t=49298
hou du 	厚度	c=2 d=0.918512 t=49298
hou fa you shi 	後發優勢	c=1 d=0.0581343 t=49298
hou guo 	後果	c=4 d=1.77093 t=49298
hou huan 	後患	c=1 d=0.00112497 t=49298
hou hui 	後悔	c=2 d=0.0252232 t=49298
hou ji yin zu 	後基因組	c=2 d=0.00194579 t=49298
hou ji yin zu xue 	後基因組學	c=2 d=0.000867734 t=49298
hou jin 	後勁	c=1 d=0.0710054 t=49298
hou lai 	後來	c=11 d=1.52021 t=49298
hou lai de 	後來的	c=1 d=0.0141931 t=49298
hou men 	後門	c=1 d=0.000257369 t=49298
hou mian 	後面	c=4 d=0.525716 t=49298
hou mian de 	後面的	c=1 d=0.0652193 t=49298
hou qin 	後勤	c=1 d=0.225373 t=49298
hou ren 	後人	c=1 d=0.995012 t=49298
hou tai 	後臺	c=1 d=1 t=49298
hou tian 	後天	c=3 d=0.464742 t=49298
hou tian yin su 	後天因素	c=1 d=7.62186e-12 t=49298
hou tou 	後頭	c=1 d=6.27047e-10 t=49298
hou xu 	後續	c=2 d=0.496675 t=49298
hou xuan 	候選	c=2 d=0.919314 t=49298
hou xuan xiang 	候選項	c=1 d=0.551563 t=49298
hou yi fu 	厚衣服	c=1 d=0.0685632 t=49298
hou yi fu 	後衣服	c=-2 d=2.01141e-08 t=49298
hou yi ge 	後一個	c=1 d=0.00366107 t=49298
hou ying 	侯嬴	c=0 d=2.74887e-15 t=49298
hou you 	後又	c=1 d=0.23457 t=49298
hou zhe 	後者	c=3 d=0.185444 t=49298
hu 	乎	c=0 d=0.0275291 t=49298
hu 	呼	c=0 d=1.81519e-15 t=49298
hu 	忽	c=0 d=2.3804e-09 t=49298
hu 	戶	c=0 d=2.08257e-14 t=49298
hu 	胡	c=0 d=4.8851e-15 t=49298
hu 	虎	c=2 d=1.34092 t=49298
hu 	護	c=0 d=2.04099e-12 t=49298
hu bao 	互抱	c=1 d=0.0812682 t=49298
hu bu 	互補	c=3 d=1.32016 t=49298
hu bu lian 	互補鏈	c=1 d=0.0678809 t=49298
hu bu pei dui 	互補配對	c=2 d=0.621885 t=49298
hu bu zuo yong 	互補作用	c=1 d=2.86008e-10 t=49298
hu chu 	呼出	c=0 d=0.0460704 t=49298
hu chu qi 	呼出氣	c=22 d=0.985059 t=49298
hu chu qi 	虎初期	c=-1 d=5.31669e-10 t=49298
hu chu wu 	呼出物	c=1 d=5.6173e-10 t=49298
hu er jiang chu huan mei jiu 	呼兒將出換美酒	c=1 d=1.82429e-14 t=49298
hu fu cheng zhou 	忽覆乘舟	c=1 d=5.34516e-14 t=49298
hu gu se xi luan hui che 	虎鼓瑟兮鸞回車	c=1 d=2.18407e-14 t=49298
hu huan 	互換	c=1 d=0.0975009 t=49298
hu hun ji yi po dong 	忽魂悸以魄動	c=1 d=2.20602e-14 t=49298
hu ji 	戶籍	c=0 d=0.0551563 t=49298
hu ji zhi du 	戶籍制度	c=1 d=0.554327 t=49298
hu ji zhi du gai ge 	戶籍制度改革	c=1 d=0.722527 t=49298
hu kou 	戶口	c=2 d=1.00333 t=49298
hu kui qing hai wan 	胡窺青海灣	c=1 d=4.90959e-14 t=49298
hu la tang 	胡辣湯	c=4 d=0.711776 t=49298
hu li 	互利	c=0 d=0.0748071 t=49298
hu li 	護理	c=1 d=0.598324 t=49298
hu li gong ying 	互利共贏	c=2 d=1.16348 t=49298
hu li he zuo 	互利合作	c=1 d=0.332871 t=49298
hu lian wang 	互聯網	c=9 d=2.3551 t=49298
hu lian wang zi fei 	互聯網資費	c=1 d=0.25284 t=49298
hu liang 	互諒	c=0 d=0.012307 t=49298
hu liang hu rang 	互諒互讓	c=1 d=0.123687 t=49298
hu lu 	葫蘆	c=0 d=8.08904e-07 t=49298
hu lu ji 	葫蘆雞	c=1 d=8.12959e-06 t=49298
hu luan 	胡亂	c=1 d=0.148823 t=49298
hu lve 	忽略	c=3 d=0.892057 t=49298
hu ma yi bei feng 	胡馬依北風	c=1 d=6.54215e-09 t=49298
hu nan 	湖南	c=3 d=0.335598 t=49298
hu po 	湖泊	c=1 d=1.72608e-10 t=49298
hu pu 	虎撲	c=3 d=0.951229 t=49298
hu ran 	忽然	c=1 d=0.0571209 t=49298
hu ran xiang qi 	忽然想起	c=1 d=0.574072 t=49298
hu rang 	互讓	c=0 d=0.012307 t=49298
hu ru yuan xing ke 	忽如遠行客	c=1 d=7.33947e-09 t=49298
hu shi 	護士	c=1 d=0.677057 t=49298
hu shui 	湖水	c=0 d=1.67478e-09 t=49298
hu tian 	胡天	c=0 d=1.1459e-15 t=49298
hu wei 	胡爲	c=0 d=3.60092e-15 t=49298
hu wei hu lai zai 	胡爲乎來哉	c=1 d=3.61897e-14 t=49298
hu xi 	呼吸	c=2 d=0.000343844 t=49298
hu xi 	護膝	c=1 d=0.774916 t=49298
hu xi dao 	呼吸道	c=2 d=0.105974 t=49298
hu xi lian 	呼吸鏈	c=1 d=7.48646e-07 t=49298
hu xi xi tong 	呼吸系統	c=1 d=4.90792e-10 t=49298
hu xi xing 	呼吸性	c=1 d=0.000614317 t=49298
hu xiang 	互相	c=1 d=0.0739031 t=49298
hu xiao long yin 	虎嘯龍吟	c=4 d=0.90987 t=49298
hu yan si san 	忽焉思散	c=1 d=0.0555762 t=49298
hu ying 	呼應	c=1 d=0.499074 t=49298
hu yong 	護擁	c=1 d=0.398519 t=49298
hu yu 	呼籲	c=0 d=0.0733447 t=49298
hu yu duo nian 	呼籲多年	c=1 d=0.737123 t=49298
hu yue zhao wo ying 	湖月照我影	c=1 d=1.95657e-14 t=49298
hua 	化	c=1 d=0.135724 t=49298
hua 	畫	c=5 d=0.866792 t=49298
hua 	花	c=6 d=1.39738 t=49298
hua 	華	c=0 d=4.46465e-15 t=49298
hua 	話	c=3 d=0.250081 t=49298
hua bu lai 	划不來	c=1 d=0.00178203 t=49298
hua che 	滑車	c=0 d=1.12245e-07 t=49298
hua chu 	畫出	c=1 d=0.349938 t=49298
hua de 	花的	c=1 d=0.318224 t=49298
hua ding 	劃定	c=1 d=0.537944 t=49298
hua dong zhao fei nan pu yun 	畫棟朝飛南浦雲	c=1 d=4.84819e-13 t=49298
hua er 	花兒	c=1 d=0.245367 t=49298
hua fen 	劃分	c=1 d=0.0106202 t=49298
hua ge zhu lou 	畫閣朱樓	c=0 d=9.24217e-16 t=49298
hua ge zhu lou jin xiang wang 	畫閣朱樓盡相望	c=1 d=9.2885e-15 t=49298
hua he wu 	化合物	c=10 d=0.772428 t=49298
hua hu bu zu fan lei quan 	畫虎不足反類犬	c=1 d=0.806541 t=49298
hua hua lv lv 	花花綠綠	c=1 d=0.00069264 t=49298
hua huo 	花活	c=0 d=0.0351692 t=49298
hua huo neng 	花活能	c=-1 d=5.34244e-08 t=49298
hua jian 	化簡	c=2 d=1.54842 t=49298
hua jie 	化解	c=0 d=0.101719 t=49298
hua jin qu 	划進去	c=1 d=0.182684 t=49298
hua ju 	話劇	c=1 d=0.0156858 t=49298
hua luo 	花落	c=0 d=7.12618e-16 t=49298
hua mao chun song 	華茂春松	c=1 d=0.0617291 t=49298
hua mian 	畫面	c=1 d=0.222017 t=49298
hua ming ce 	花名冊	c=2 d=0.042006 t=49298
hua qian 	花錢	c=3 d=1.82724 t=49298
hua ran chang xiao 	畫然長嘯	c=1 d=1.74824e-13 t=49298
hua ren 	華人	c=0 d=0.00231676 t=49298
hua ti 	話題	c=1 d=0.0453845 t=49298
hua tu 	畫圖	c=1 d=0.140858 t=49298
hua wei 	化爲	c=1 d=0.0702988 t=49298
hua wei 	華爲	c=2 d=0.075238 t=49298
hua wei lang yu chai 	化爲狼與豺	c=1 d=3.7106e-14 t=49298
hua wen 	華文	c=1 d=0.937067 t=49298
hua xi 	華西	c=2 d=0.652237 t=49298
hua xian 	畫線	c=1 d=0.970446 t=49298
hua xie 	畫攜	c=-1 d=3.42355e-08 t=49298
hua xue 	化學	c=26 d=1.81581 t=49298
hua xue ben zhi 	化學本質	c=1 d=0.0784731 t=49298
hua xue cheng fen 	化學成分	c=1 d=1.43753e-05 t=49298
hua xue cui hua ji 	化學催化劑	c=1 d=0.132655 t=49298
hua xue fa guang 	化學發光	c=1 d=0.219808 t=49298
hua xue fa guang fa 	化學發光法	c=1 d=2.49245e-09 t=49298
hua xue fa guang fen xi fa 	化學發光分析法	c=1 d=0.218712 t=49298
hua xue fan ying 	化學反應	c=4 d=1.29145 t=49298
hua xue gan rao 	化學干擾	c=1 d=0.425283 t=49298
hua xue hao yang liang 	化學耗氧量	c=1 d=1.67507e-10 t=49298
hua xue ji tuan 	化學基團	c=2 d=0.0689151 t=49298
hua xue jian 	化學鍵	c=4 d=0.716273 t=49298
hua xue jie gou 	化學結構	c=1 d=0.186374 t=49298
hua xue ke 	化學課	c=1 d=0.45612 t=49298
hua xue wu 	化學物	c=0 d=6.98723e-12 t=49298
hua xue wu zhi 	化學物質	c=0 d=2.09772e-11 t=49298
hua xue wu zhi guo min zheng 	化學物質過敏症	c=1 d=2.10823e-10 t=49298
hua xue xin hao 	化學信號	c=3 d=0.932403 t=49298
hua xue xing zhi 	化學性質	c=3 d=0.697099 t=49298
hua xue xiu shi 	化學修飾	c=2 d=0.128179 t=49298
hua xue yi zhi xing 	化學抑制型	c=1 d=0.104874 t=49298
hua xue you hai yin su 	化學有害因素	c=1 d=4.48154e-29 t=49298
hua xue zhi xi xing qi ti 	化學窒息性氣體	c=1 d=1.87468e-11 t=49298
hua yan 	化驗	c=1 d=0.0505395 t=49298
hua yu 	話語	c=1 d=0.0902655 t=49298
hua yu quan 	話語權	c=0 d=0.0794534 t=49298
hua yue 	花月	c=1 d=0.125556 t=49298
hua zai 	花在	c=1 d=0.535261 t=49298
hua zhong 	華中	c=1 d=0.120633 t=49298
hua zhuang pin 	化妝品	c=2 d=0.557106 t=49298
hua zhuang pin guang gan xing 	化妝品光感性	c=-1 d=3.45197e-17 t=49298
hua zhuang pin guang gan xing pi yan 	化妝品光感性皮炎	c=1 d=2.29527e-10 t=49298
huai 	懷	c=2 d=0.124896 t=49298
huai chu 	壞處	c=1 d=0.355226 t=49298
huai di 	懷帝	c=0 d=3.43359e-14 t=49298
huai di hun er bu jian 	懷帝閽而不見	c=1 d=3.4508e-13 t=49298
huai he 	淮河	c=1 d=0.0867261 t=49298
huai jing 	踝脛	c=-1 d=5.9043e-08 t=49298
huai le 	壞了	c=2 d=0.000825105 t=49298
huai nian 	懷念	c=1 d=0.025284 t=49298
huai si 	壞死	c=0 d=0.0980199 t=49298
huai yi 	懷疑	c=3 d=0.970446 t=49298
huai you 	懷有	c=1 d=0.00416933 t=49298
huai zai ba huan yan 	懷哉罷歡宴	c=1 d=5.98213e-15 t=49298
huai zhe 	懷着	c=1 d=0.628135 t=49298
huan 	患	c=2 d=0.355226 t=49298
huan 	換	c=2 d=0.0148464 t=49298
huan 	歡	c=0 d=1.77038e-15 t=49298
huan 	環	c=10 d=2.40805 t=49298
huan 	緩	c=0 d=6.6079e-10 t=49298
huan 	還	c=7 d=1.43871 t=49298
huan bao 	環保	c=2 d=0.840025 t=49298
huan bao bu 	環保部	c=1 d=0.0889216 t=49298
huan bi 	環比	c=1 d=9.23902e-11 t=49298
huan bing 	患病	c=0 d=9.47452e-14 t=49298
huan bing lv 	患病率	c=3 d=0.865022 t=49298
huan bing lv yan jiu 	患病率研究	c=1 d=2.20564e-12 t=49298
huan cheng 	換成	c=2 d=0.0450492 t=49298
huan chong 	緩衝	c=1 d=0.731128 t=49298
huan chong rong liang 	緩衝容量	c=1 d=0.744532 t=49298
huan chong rong ye 	緩衝溶液	c=1 d=0.647265 t=49298
huan cun 	緩存	c=3 d=0.918531 t=49298
huan dai kuan 	還貸款	c=1 d=0.0792617 t=49298
huan gu wang jiu xiang 	還顧望舊鄉	c=1 d=9.37705e-09 t=49298
huan hang 	換行	c=2 d=0.959057 t=49298
huan hu sheng 	歡呼聲	c=1 d=0.447088 t=49298
huan hua 	環化	c=0 d=0.106466 t=49298
huan huai lu qing 	歡懷祿情	c=1 d=6.67772e-15 t=49298
huan huan 	換換	c=1 d=0.873716 t=49298
huan ji luo chuan 	還濟洛川	c=1 d=0.0483156 t=49298
huan jiang 	環江	c=-1 d=1.95656e-14 t=49298
huan jie 	環節	c=1 d=1.91652e-06 t=49298
huan jie 	緩解	c=2 d=0.609571 t=49298
huan jing 	環境	c=16 d=1.03295 t=49298
huan jing du li xue 	環境毒理學	c=1 d=0.0343896 t=49298
huan jing feng xian ping jia 	環境風險評價	c=1 d=2.2386e-10 t=49298
huan jing jian ce 	環境監測	c=1 d=1.20737e-11 t=49298
huan jing jian kang ying xiang ping jia 	環境健康影響評價	c=1 d=2.22743e-10 t=49298
huan jing nei fen mi gan rao wu 	環境內分泌干擾物	c=1 d=1.46353e-10 t=49298
huan jing wei sheng xue 	環境衛生學	c=2 d=0.909373 t=49298
huan jing wu ran 	環境污染	c=0 d=2.29527e-11 t=49298
huan jing xin hao 	環境信號	c=1 d=0.774916 t=49298
huan jing yin su 	環境因素	c=1 d=1.71639e-11 t=49298
huan jing ying da ji yin 	環境應答基因	c=1 d=1.42028e-10 t=49298
huan jing ying xiang 	環境影響	c=0 d=2.20527e-11 t=49298
huan jing ying xiang ping jia 	環境影響評價	c=1 d=2.21632e-10 t=49298
huan jing you hao 	環境友好	c=0 d=0.065377 t=49298
huan jing you hao xing 	環境友好型	c=1 d=0.657047 t=49298
huan jing zhi li 	環境治理	c=1 d=0.463013 t=49298
huan jing zhi liang 	環境質量	c=0 d=2.18333e-11 t=49298
huan jing zhi liang ping jia 	環境質量評價	c=1 d=2.19427e-10 t=49298
huan jing zhong 	環境中	c=1 d=0.852144 t=49298
huan le 	換了	c=3 d=1.1532 t=49298
huan le 	歡樂	c=2 d=0.386741 t=49298
huan le nan ju chen 	歡樂難具陳	c=1 d=7.87163e-09 t=49298
huan man 	緩慢	c=2 d=0.20446 t=49298
huan rao 	環繞	c=2 d=0.798516 t=49298
huan ren 	換人	c=1 d=0.00588705 t=49298
huan sha 	浣紗	c=0 d=1.00119e-15 t=49298
huan wei 	環衛	c=1 d=0.501576 t=49298
huan xi 	歡喜	c=1 d=1.51175e-09 t=49298
huan xing jie gou 	環形結構	c=1 d=0.484325 t=49298
huan yan 	歡宴	c=0 d=5.95229e-16 t=49298
huan ying 	歡迎	c=2 d=0.0235297 t=49298
huan you 	患有	c=1 d=5.78837e-10 t=49298
huan you 	還有	c=1 d=5.7595e-10 t=49298
huan yu 	寰宇	c=0 d=0.0878095 t=49298
huan yuan 	轘轅	c=0 d=0.00520787 t=49298
huan yuan 	還原	c=6 d=0.783242 t=49298
huan yuan mei 	還原酶	c=1 d=1.31743e-08 t=49298
huan zhe 	患者	c=13 d=1.81788 t=49298
huan zhe man yi du 	患者滿意度	c=1 d=0.65377 t=49298
huan zhe mian yu si wang 	患者免於死亡	c=1 d=1.06825e-12 t=49298
huang 	恍	c=0 d=2.20602e-15 t=49298
huang 	荒	c=0 d=1.22899e-15 t=49298
huang 	隍	c=0 d=2.33639e-14 t=49298
huang 	黃	c=4 d=1.79453 t=49298
huang cao 	荒草	c=1 d=0.810584 t=49298
huang cheng lin gu du 	荒城臨古渡	c=1 d=1.23515e-14 t=49298
