# Rime user dictionary
#@/db_name	zhung.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	12045
#@/user_id	stella
a1 	啊	c=65 d=4.31181 t=12045
hua2 chu1 lai2 	畫出來	c=1 d=0.000189713 t=12045
hua4 	化	c=0 d=0.0404542 t=12045
hua4 	畫	c=0 d=0.0923116 t=12045
hua4 cau3 tu2 	畫草圖	c=1 d=0.927743 t=12045
hua4 cy2 	畫詞	c=2 d=0.0636576 t=12045
hua4 heo2 wu1 	化合物	c=1 d=0.0413782 t=12045
hua4 xuo2 	化學	c=0 d=0.0888489 t=12045
hua4 xuo2 fan1 ying1 	化學反應	c=1 d=0.131336 t=12045
hua4 xuo2 je1 gou4 	化學結構	c=1 d=0.882497 t=12045
hua4 xuo2 lau3 shy1 	化學老師	c=1 d=0.0816756 t=12045
hua4 xuo2 sing4 zhy1 	化學性質	c=4 d=1.84167 t=12045
hua4 xuo2 yin1 su4 	化學因素	c=1 d=0.847894 t=12045
hua4 zhuang1 pin3 	化妝品	c=1 d=0.0858632 t=12045
huai2 	或	c=41 d=3.48596 t=12045
huai2 qi2 	或其	c=1 d=0.810584 t=12045
huai2 shy4 	或是	c=3 d=0.585687 t=12045
huai2 yi2 	懷疑	c=1 d=0.203926 t=12045
huai2 zhe2 	或者	c=2 d=0.300938 t=12045
huai2 zheo3 	或者	c=5 d=0.290511 t=12045
huai4 liau3 	壞了	c=0 d=0.00706512 t=12045
huai4 sy3 	壞死	c=0 d=0.0733923 t=12045
huan1 ying2 	歡迎	c=4 d=0.67368 t=12045
huan2 	環	c=0 d=0.193131 t=12045
huan2 	還	c=1 d=0.26054 t=12045
huan2 hua4 	環化	c=1 d=0.159614 t=12045
huan2 jing3 	環境	c=0 d=0.0818731 t=12045
huan2 jing3 wui4 sheng1 	環境衛生	c=1 d=0.0473589 t=12045
huan2 kuan3 	還款	c=1 d=0.778801 t=12045
huan2 you3 	還有	c=1 d=0.287941 t=12045
huan4 bei1 	皖北	c=2 d=1.47514 t=12045
huan4 geo4 	換個	c=1 d=0.25924 t=12045
huan4 hang2 	換行	c=3 d=2.92111 t=12045
huan4 huan4 	換換	c=1 d=0.024234 t=12045
huan4 hui2 	換回	c=1 d=0.882497 t=12045
huan4 ju4 hua4 shuo1 	換句話說	c=1 d=0.0800583 t=12045
huang2 	黃	c=1 d=0.618783 t=12045
huang2 di4 	皇帝	c=1 d=0.955997 t=12045
huang2 shy2 zhan4 zheng1 	皇室戰爭	c=1 d=0.213312 t=12045
hui2 	回	c=1 d=0.00030659 t=12045
hui2 bau4 liu1 	回報率	c=1 d=7.63769e-07 t=12045
hui2 da1 	回答	c=2 d=0.0573239 t=12045
hui2 dau4 	回到	c=4 d=1.70463 t=12045
hui2 dau4 ja1 	回到家	c=1 d=0.390628 t=12045
hui2 fu1 	回覆	c=0 d=0.0235746 t=12045
hui2 fu1 siou1 fu2 	回覆修復	c=1 d=0.236928 t=12045
hui2 gui1 	回歸	c=1 d=0.946485 t=12045
hui2 hai2 	回還	c=-1 d=0 t=12045
hui2 ja1 	回家	c=2 d=0.0747683 t=12045
hui2 lai2 	回來	c=4 d=0.0581849 t=12045
hui2 lai2 liau3 	回來了	c=1 d=0.453845 t=12045
hui2 qu4 	回去	c=11 d=2.15564 t=12045
hui2 shy4 	回事	c=0 d=0.0216536 t=12045
hui2 wun2 	迴文	c=0 d=0.0637628 t=12045
hui2 wun2 je1 gou4 	迴文結構	c=2 d=1.28486 t=12045
hui4 	會	c=7 d=1.36241 t=12045
hui4 bi3 	會比	c=1 d=0.00711891 t=12045
hui4 dung4 	會動	c=1 d=0.000397625 t=12045
hui4 ji4 	會計	c=2 d=0.802519 t=12045
hui4 ji4 shy1 	會計師	c=1 d=0.99005 t=12045
hui4 shy3 	會使	c=1 d=0.108067 t=12045
hui4 you3 	會有	c=1 d=0.869358 t=12045
hui4 yung4 	會用	c=0 d=0.00232837 t=12045
hui4 yung4 dau4 	會用到	c=1 d=0.0234005 t=12045
hui4 zhy3 	會址	c=1 d=0.923116 t=12045
hun4 luan4 	混亂	c=1 d=0.112478 t=12045
hun4 xau2 	混淆	c=0 d=0.0843665 t=12045
hung2 	紅	c=1 d=0.425283 t=12045
hung2 chang2 	紅腸	c=1 d=0.913931 t=12045
hung2 lun2 si1 zhui4 xan2 chy2 pang2 	紅輪西墜咸池旁	c=1 d=0.786628 t=12045
hung2 shu4 	橫豎	c=1 d=0.0784746 t=12045
hung2 shu4 pie3 na1 	橫豎撇捺	c=1 d=0.000770468 t=12045
hung2 shu4 pie3 na1 zheo1 	橫豎撇捺折	c=1 d=0.000816895 t=12045
huo1 cheng2 	霍城	c=4 d=3.32796 t=12045
huo2 	和	c=137 d=11.5141 t=12045
huo2 dung4 	活動	c=1 d=0.0564161 t=12045
huo2 el2 	活兒	c=0 d=0.00317456 t=12045
huo2 hua4 	活化	c=8 d=1.80024 t=12045
huo2 hua4 guo1 cheng2 	活化過程	c=1 d=0.0889216 t=12045
huo2 hua4 sin4 hau4 	活化信號	c=2 d=0.316637 t=12045
huo2 li1 	活力	c=2 d=1.56945 t=12045
huo2 sing4 	活性	c=9 d=1.62832 t=12045
huo2 xan2 	和絃	c=1 d=0.574072 t=12045
ja1 	加	c=1 d=0.097531 t=12045
ja1 	家	c=2 d=0.0645136 t=12045
ja1 bu1 ja1 	加不加	c=1 d=0.980199 t=12045
ja1 cian2 	加錢	c=1 d=0.514274 t=12045
ja1 gung1 	加工	c=4 d=1.10012 t=12045
ja1 liau3 	加了	c=1 d=0.0720785 t=12045
ja1 qang2 	加強	c=1 d=0.313486 t=12045
ja1 zu2 	家族	c=2 d=0.691086 t=12045
ja3 sheo1 jan3 yan4 	假設檢驗	c=1 d=0.232236 t=12045
ja4 	價	c=1 d=0.0480747 t=12045
ja4 dau4 	架到	c=2 d=0.0182333 t=12045
ja4 xuan1 	稼軒	c=1 d=0.70822 t=12045
jai1 cheng2 	階乘	c=1 d=0.140858 t=12045
jai1 duan4 	階段	c=2 d=0.347872 t=12045
jai1 shu2 	皆屬	c=1 d=0.0317456 t=12045
jai4 	介	c=0 d=0.022313 t=12045
jai4 dau4 	介導	c=8 d=1.08741 t=12045
jai4 mian4 	界面	c=1 d=0.130029 t=12045
jai4 mu3 	介母	c=1 d=0.178173 t=12045
jai4 shau2 	介紹	c=4 d=1.86164 t=12045
jai4 yin1 	介音	c=1 d=0.0120946 t=12045
jai4 zhy1 	介質	c=0 d=0.0135335 t=12045
jai4 zhy1 biau3 	界值表	c=1 d=0.0229371 t=12045
jan1 chy2 	堅持	c=1 d=0.32628 t=12045
jan1 ding4 	鑑定	c=1 d=0.554327 t=12045
jan1 yung2 	兼容	c=1 d=0.00719046 t=12045
jan1 zie1 	間接	c=1 d=0.412714 t=12045
jan3 	減	c=0 d=0.0865022 t=12045
jan3 	簡	c=0 d=0.0995012 t=12045
jan3 che1 	檢測	c=1 d=8.23255e-07 t=12045
jan3 cheng1 	簡稱	c=5 d=1.55133 t=12045
jan3 cheng1 wui2 	簡稱爲	c=1 d=0.168638 t=12045
jan3 chu1 	檢出	c=1 d=0.56836 t=12045
jan3 el2 yan2 zhy1 	簡而言之	c=1 d=0.460704 t=12045
jan3 jai4 	簡介	c=3 d=1.28344 t=12045
jan3 ji1 	鹼基	c=8 d=1.73576 t=12045
jan3 ji1 dui4 	鹼基對	c=1 d=0.904837 t=12045
jan3 ji1 hu3 bu3 	鹼基互補	c=1 d=0.0742736 t=12045
jan3 ji1 pei4 dui4 	鹼基配對	c=3 d=0.661383 t=12045
jan3 ji1 shuo1 	鹼基數	c=2 d=0.238914 t=12045
jan3 ji1 siu4 lie1 	鹼基序列	c=3 d=1.48086 t=12045
jan3 ji1 ti4 huan4 	鹼基替換	c=2 d=1.73013 t=12045
jan3 man4 	減慢	c=0 d=0.0343009 t=12045
jan3 man4 liau3 	減慢了	c=1 d=0.344728 t=12045
jan3 shau3 	減少	c=2 d=0.807085 t=12045
jan3 yan4 	檢驗	c=24 d=3.82414 t=12045
jan3 yau1 	簡要	c=1 d=0.865022 t=12045
jan4 	見	c=1 d=1.04829 t=12045
jan4 	鍵	c=3 d=0.818731 t=12045
jan4 	間	c=3 d=0.794534 t=12045
jan4 dau4 	見到	c=1 d=0.0665368 t=12045
jan4 el4 liou2 	間二硫	c=1 d=0.814647 t=12045
jan4 guo1 	見過	c=1 d=0.124307 t=12045
jan4 li1 	建立	c=1 d=0.12307 t=12045
jan4 pan2 	鍵盤	c=15 d=2.91338 t=12045
jan4 pan2 kung3 	鍵盤控	c=5 d=0.97531 t=12045
jan4 pan2 shang4 	鍵盤上	c=1 d=0.151072 t=12045
jan4 pi2 si4 bau1 	間皮細胞	c=1 d=0.615697 t=12045
jan4 sheo1 	建設	c=3 d=0.99421 t=12045
jan4 wo3 	見我	c=1 d=0.941765 t=12045
jan4 wui4 	鍵位	c=3 d=0.00804049 t=12045
jan4 zhu1 	建築	c=1 d=0.246597 t=12045
jang1 huai2 	江淮	c=1 d=0.748264 t=12045
jang1 kui2 	姜夔	c=1 d=0.0391639 t=12045
jang1 wui3 du2 ping2 qi4 li1 gau1 	姜維獨憑氣力高	c=1 d=0.927743 t=12045
jang3 	講	c=2 d=0.440949 t=12045
jang3 hua4 	講話	c=1 d=0.402524 t=12045
jang3 le1 	講的	c=1 d=0.053397 t=12045
jang3 zuo4 	講座	c=6 d=0.856033 t=12045
jang4 	降	c=0 d=0.0527292 t=12045
jang4 ya1 yuo1 	降壓藥	c=4 d=1.02525 t=12045
jau1 cha1 	交叉	c=0 d=0.0100259 t=12045
jau1 cha1 ciu1 zin4 	交叉促進	c=1 d=0.100761 t=12045
jau1 dai4 	交待	c=1 d=0.826959 t=12045
jau1 huan4 	交換	c=1 d=0.133127 t=12045
jau1 huan4 dau4 	交換到	c=1 d=0.149569 t=12045
jau1 lian4 	教練	c=1 d=0.484325 t=12045
jau1 liou2 	交流	c=1 d=0.126186 t=12045
jau1 ni3 	教你	c=3 d=0.905836 t=12045
jau1 shou4 	教授	c=3 d=0.457608 t=12045
jau1 zhuang1 	膠裝	c=3 d=0.213728 t=12045
jau4 	叫	c=16 d=1.6659 t=12045
jau4 da4 	較大	c=2 d=0.882497 t=12045
jau4 di1 	較低	c=2 d=0.20122 t=12045
jau4 duan3 	較短	c=1 d=0.453845 t=12045
jau4 gau1 	較高	c=1 d=0.396531 t=12045
jau4 lian4 	鉸鍊	c=0 d=0.0865022 t=12045
jau4 lian4 qu1 	鉸鍊區	c=2 d=1.74307 t=12045
jau4 mu3 	酵母	c=0 d=0.0453845 t=12045
jau4 mu3 si4 bau1 	酵母細胞	c=2 d=0.960211 t=12045
jau4 siau3 	較小	c=1 d=0.913931 t=12045
jau4 sin1 	較新	c=1 d=0.995012 t=12045
jau4 wan3 	較晚	c=1 d=0.045502 t=12045
jau4 wo3 	叫我	c=1 d=0.522046 t=12045
je1 gou4 	結構	c=8 d=2.98908 t=12045
je1 gou4 fen1 si1 	結構分析	c=1 d=0.755784 t=12045
je1 gou4 ji1 yin1 	結構基因	c=2 d=0.436332 t=12045
je1 gou4 qu1 	結構區	c=1 d=0.216536 t=12045
je1 gou4 shang4 	結構上	c=1 d=0.99005 t=12045
je1 gou4 yu1 	結構域	c=2 d=0.238742 t=12045
je1 guo3 	結果	c=13 d=0.778801 t=12045
je1 heo2 	結合	c=27 d=4.27525 t=12045
je1 heo2 bu4 wui4 	結合部位	c=1 d=0.104874 t=12045
je1 hun1 	結婚	c=3 d=1.14784 t=12045
je1 ji1 	街機	c=2 d=1.00569 t=12045
je1 kang4 	拮抗	c=1 d=0.487316 t=12045
je1 kang4 sing4 	拮抗性	c=1 d=0.22091 t=12045
je1 lun4 	結論	c=1 d=0.704688 t=12045
je1 shu1 	結束	c=3 d=0.886767 t=12045
je3 jue1 	解決	c=3 d=0.965686 t=12045
je3 kai1 	解開	c=3 d=0.343134 t=12045
je3 lian2 	解鏈	c=1 d=0.0800583 t=12045
je3 luo2 siuan2 mei2 	解螺旋酶	c=1 d=0.786628 t=12045
je3 shuo1 	解說	c=1 d=0.0417941 t=12045
je3 shy1 	解釋	c=5 d=0.726448 t=12045
ji1 	及	c=16 d=3.06072 t=12045
ji1 	基	c=0 d=0.127725 t=12045
ji1 	給	c=5 d=0.965102 t=12045
ji1 be1 	幾百	c=1 d=0.16696 t=12045
ji1 ben3 	基本	c=4 d=0.462167 t=12045
ji1 chu3 	基礎	c=3 d=0.952785 t=12045
ji1 chu3 biau3 da1 	基礎表達	c=1 d=0.2334 t=12045
ji1 chu3 zhy1 shy1 	基礎知識	c=1 d=0.562705 t=12045
ji1 cian2 	給錢	c=0 d=0.0308819 t=12045
ji1 dian3 	幾點	c=2 d=0.778801 t=12045
ji1 duan4 	幾段	c=1 d=0.00225411 t=12045
ji1 dung4 	激動	c=1 d=0.339596 t=12045
ji1 fen1 zhung1 	幾分鐘	c=1 d=0.101774 t=12045
ji1 geo4 	幾個	c=7 d=1.92894 t=12045
ji1 guan1 tuan2 ti3 	機關團體	c=1 d=0.790571 t=12045
ji1 hu2 	幾乎	c=2 d=0.843772 t=12045
ji1 hui4 	機會	c=2 d=0.27139 t=12045
ji1 huo2 	激活	c=16 d=1.65935 t=12045
ji1 huo2 sing4 	激活性	c=1 d=0.900325 t=12045
ji1 huo2 tu2 jing4 	激活途徑	c=1 d=0.0930145 t=12045
ji1 huo2 wu1 	激活物	c=3 d=1.12711 t=12045
ji1 jan4 	擊鍵	c=2 d=0.251579 t=12045
ji1 ju4 	幾句	c=1 d=0.0507928 t=12045
ji1 liuan2 	級聯	c=0 d=0.00761538 t=12045
ji1 liuan2 mei2 	級聯酶	c=1 d=0.0765355 t=12045
ji1 mau2 	幾毛	c=1 d=0.774916 t=12045
ji1 mei2 	激酶	c=1 d=0.559898 t=12045
ji1 na4 geo4 	給那個	c=1 d=0.11475 t=12045
ji1 ni3 	給你	c=12 d=1.6853 t=12045
ji1 ni3 le1 	給你的	c=1 d=0.0391639 t=12045
ji1 ni3 shuo1 	給你說	c=1 d=0.0808629 t=12045
ji1 nian2 	幾年	c=1 d=0.208045 t=12045
ji1 qi2 	及其	c=5 d=1.87569 t=12045
ji1 qi4 	機器	c=2 d=0.0215431 t=12045
ji1 shy2 	幾十	c=0 d=0.017552 t=12045
ji1 shy2 geo4 	幾十個	c=1 d=0.1764 t=12045
ji1 su4 lui4 	激素類	c=1 d=0.186374 t=12045
ji1 ti3 	機體	c=1 d=0.460672 t=12045
ji1 ti3 mian3 yi1 	機體免疫	c=1 d=0.423162 t=12045
ji1 wo3 	給我	c=5 d=0.810482 t=12045
ji1 yin1 	基因	c=15 d=3.99812 t=12045
ji1 yin1 bian1 ma3 qu1 	基因編碼區	c=1 d=0.169483 t=12045
ji1 yin1 biau3 da1 	基因表達	c=2 d=0.573017 t=12045
ji1 yin1 chan3 wu1 	基因產物	c=1 d=0.839457 t=12045
ji1 yin1 fu1 heo2 ti3 	基因複合體	c=2 d=1.65642 t=12045
ji1 yin1 je1 gou4 	基因結構	c=2 d=1.02362 t=12045
ji1 yin1 pian4 duan4 	基因片段	c=1 d=0.752014 t=12045
ji1 yin1 tan4 zhen1 	基因探針	c=1 d=0.0702988 t=12045
ji1 yin1 tu2 bian4 	基因突變	c=5 d=0.831104 t=12045
ji1 yin1 xing2 	基因型	c=1 d=0.213312 t=12045
ji1 yin1 zu3 	基因組	c=4 d=0.798516 t=12045
ji1 yu1 	基於	c=1 d=0.0010701 t=12045
ji1 zhung3 	幾種	c=1 d=0.810584 t=12045
ji1 zhy1 	基質	c=0 d=0.0920094 t=12045
ji1 zhy1 si4 bau1 	基質細胞	c=1 d=0.798516 t=12045
ji1 zhy4 	機制	c=5 d=1.69287 t=12045
ji2 du4 	極度	c=1 d=0.193013 t=12045
ji3 shy2 	幾時	c=1 d=0.000293099 t=12045
ji3 tang2 	己糖	c=1 d=0.0426384 t=12045
ji4 	寄	c=0 d=0.0818731 t=12045
ji4 	既	c=1 d=0.451581 t=12045
ji4 	計	c=0 d=0.0909373 t=12045
ji4 bu1 cing1 	記不清	c=2 d=0.332874 t=12045
ji4 cuo1 	記錯	c=1 d=0.056251 t=12045
ji4 cuo1 liau3 	記錯了	c=1 d=0.101774 t=12045
ji4 de1 	記得	c=2 d=0.522046 t=12045
ji4 kuai4 di4 	寄快遞	c=1 d=0.822835 t=12045
ji4 lu1 	記錄	c=1 d=0.66034 t=12045
ji4 neng2 	技能	c=1 d=0.00740944 t=12045
ji4 neng2 	既能	c=1 d=0.118837 t=12045
ji4 rhan3 	既然	c=2 d=0.25284 t=12045
ji4 rhan3 shy4 	既然是	c=1 d=0.000493001 t=12045
ji4 rhen4 	繼任	c=1 d=0.00501661 t=12045
ji4 sheng1 chung2 	寄生蟲	c=1 d=0.0569831 t=12045
ji4 shu2 	技術	c=2 d=0.245367 t=12045
ji4 shu2 han2 liang2 	技術含量	c=1 d=0.891366 t=12045
ji4 siu2 	繼續	c=3 d=0.990668 t=12045
ji4 suan4 	計算	c=3 d=0.413674 t=12045
ji4 suan4 ji1 	計算機	c=1 d=0.458406 t=12045
ji4 yi1 	記憶	c=3 d=0.0647265 t=12045
jin1 gue1 	金國	c=2 d=1.68268 t=12045
jin1 nian2 	今年	c=4 d=0.602953 t=12045
jin1 nian2 shy4 	今年是	c=1 d=0.0160829 t=12045
jin1 shu2 yuan2 su4 	金屬元素	c=1 d=0.0380064 t=12045
jin1 tian1 	今天	c=14 d=2.32686 t=12045
jin1 wu1 fi1 shang4 tian1 zhung1 yang1 	金烏飛上天中央	c=1 d=0.778801 t=12045
jin1 yin2 tu2 bian4 	金銀突變	c=-1 d=0 t=12045
jin1 yung4 	禁用	c=3 d=0.826959 t=12045
jin3 	僅	c=1 d=0.831104 t=12045
jin3 cy4 yu1 	僅次於	c=1 d=0.172045 t=12045
jin3 jang1 	錦江	c=2 d=0.0737811 t=12045
jin3 jin3 	僅僅	c=1 d=0.102284 t=12045
jin3 yi4 cheng2 	錦藝城	c=2 d=0.0662479 t=12045
jin3 you3 	僅有	c=2 d=0.49449 t=12045
jin3 zhan4 	僅佔	c=1 d=0.628135 t=12045
jin4 	近	c=3 d=0.554327 t=12045
jin4 sy4 	近似	c=2 d=0.103312 t=12045
jing1 	經	c=2 d=0.680451 t=12045
jing1 chang2 	經常	c=2 d=0.160414 t=12045
jing1 dian3 	經典	c=6 d=0.801124 t=12045
jing1 dian3 ji1 huo2 tu2 jing4 	經典激活途徑	c=1 d=0.0720785 t=12045
jing1 dian3 le1 	經典的	c=1 d=0.778801 t=12045
jing1 guo1 	經過	c=2 d=0.313486 t=12045
jing1 li3 	經理	c=1 d=0.519442 t=12045
jing1 shou4 	經受	c=1 d=0.621885 t=12045
jing1 ying2 	經營	c=0 d=0.0481909 t=12045
jing1 ying2 zhuo2 	經營着	c=1 d=0.484325 t=12045
jing1 zi3 	經濟	c=3 d=1.59831 t=12045
jing1 zi3 kai1 fa1 qu1 	經濟開發區	c=1 d=0.494109 t=12045
jing3 cha2 	警察	c=1 d=0.810584 t=12045
jing4 rhan3 	竟然	c=2 d=0.640824 t=12045
jing4 yang3 	敬仰	c=1 d=0.0682212 t=12045
jou3 dian3 	九點	c=2 d=0.945483 t=12045
jou3 fa2 zhung1 yuan2 kung1 qu2 lau2 	九伐中原空劬勞	c=1 d=0.932394 t=12045
ju1 heo2 	拘苛	c=-1 d=0 t=12045
ju1 yuan2 	菊園	c=1 d=0.522046 t=12045
ju2 bu4 	局部	c=1 d=0.542989 t=12045
ju2 bu4 mian3 yi1 	局部免疫	c=1 d=0.733447 t=12045
ju3 li2 	距離	c=3 d=0.970446 t=12045
ju4 	句	c=0 d=0.000299743 t=12045
ju4 	巨	c=0 d=0.0535261 t=12045
ju4 cy3 	據此	c=1 d=0.960789 t=12045
ju4 heo2 mei2 	巨褐煤	c=-1 d=0.126186 t=12045
ju4 qou2 dan4 be2 	巨球蛋白	c=1 d=0.537944 t=12045
ju4 shuo1 	據說	c=2 d=0.744532 t=12045
ju4 shy4 si4 bau1 	巨噬細胞	c=3 d=0.643167 t=12045
ju4 you3 	具有	c=16 d=2.67693 t=12045
ju4 ziue2 	拒絕	c=1 d=0.0599047 t=12045
juan3 sheo2 yin1 	捲舌音	c=1 d=0.0137049 t=12045
jue1 ding4 	決定	c=3 d=0.832808 t=12045
jue1 ding4 liau3 	決定了	c=1 d=0.332871 t=12045
jue1 ding4 qu1 	決定區	c=1 d=0.729789 t=12045
jue1 ding4 zhe2 	決定者	c=1 d=0.752014 t=12045
jue1 ding4 zhuo2 	決定着	c=1 d=0.763379 t=12045
jun1 	均	c=3 d=1.28298 t=12045
jun1 zhy1 	均值	c=8 d=1.21244 t=12045
jun4 	菌	c=1 d=0.130029 t=12045
juo1 du4 	角度	c=2 d=0.687289 t=12045
juo1 luo1 	角落	c=1 d=0.00148848 t=12045
ka3 	卡	c=1 d=0.960789 t=12045
ka3 lai2 el3 	卡萊爾	c=1 d=0.537944 t=12045
ka3 pai2 	卡牌	c=2 d=0.239309 t=12045
kai1 	開	c=1 d=0.099005 t=12045
kai1 fa1 qu1 	開發區	c=2 d=1.03916 t=12045
kai1 fa1 zhe2 	開發者	c=1 d=0.110803 t=12045
kai1 jang3 	開講	c=1 d=0.0513033 t=12045
kai1 kou3 hu1 	開口呼	c=1 d=0.205975 t=12045
kai1 shan1 	開山	c=1 d=0.687289 t=12045
kai1 shy3 	開始	c=15 d=1.01923 t=12045
kai1 shy3 shy2 	開始時	c=1 d=0.951229 t=12045
kai1 tou2 	開頭	c=2 d=0.0290156 t=12045
kai3 el3 te2 rhen2 	凱爾特人	c=2 d=1.02494 t=12045
kan1 	看	c=18 d=1.63971 t=12045
kan1 bu1 	看不	c=0 d=0.0763379 t=12045
kan1 bu1 cing1 	看不清	c=1 d=0.514274 t=12045
kan1 bu1 dung3 	看不懂	c=1 d=0.110803 t=12045
kan1 bu1 kan1 	看不看	c=1 d=0.657047 t=12045
kan1 bu1 ming2 be2 	看不明白	c=1 d=0.767206 t=12045
kan1 ci2 	看齊	c=1 d=0.0244775 t=12045
kan1 cing1 	看清	c=1 d=0.00474815 t=12045
kan1 dau4 	看到	c=5 d=0.910618 t=12045
kan1 dung3 	看懂	c=1 d=0.000200439 t=12045
kan1 fa1 	看法	c=1 d=0.000508015 t=12045
kan1 geo4 	看個	c=1 d=0.640824 t=12045
kan1 jan4 	看見	c=5 d=0.650772 t=12045
kan1 kan1 	看看	c=20 d=3.00017 t=12045
kan1 lai2 	看來	c=1 d=0.0148464 t=12045
kan1 leo1 	看了	c=1 d=0.794534 t=12045
kan1 liau3 	看了	c=2 d=0.763379 t=12045
kan1 ni3 	看你	c=1 d=0.172045 t=12045
kan1 qi3 lai2 	看起來	c=3 d=0.888018 t=12045
kan1 shu1 	看書	c=1 d=0.19398 t=12045
kan1 wun2 xan4 	看文獻	c=1 d=0.194952 t=12045
kan1 yi1 xa4 	看一下	c=1 d=0.144424 t=12045
kan1 zhuo2 	看着	c=1 d=0.216536 t=12045
kang2 	抗	c=2 d=0.81062 t=12045
kang2 bing4 du2 	抗病毒	c=3 d=0.964615 t=12045
kang2 du2 su4 	抗毒素	c=1 d=0.995012 t=12045
kang2 gan3 rhan3 	抗感染	c=1 d=0.0564161 t=12045
kang2 huai4 xe1 suan1 	抗壞血酸	c=1 d=0.0432828 t=12045
kang2 si4 bau1 zeng1 zhy2 	抗細胞增殖	c=1 d=0.319819 t=12045
kang2 ti3 	抗體	c=16 d=3.43717 t=12045
kang2 ti3 xing2 cheng2 si4 bau1 	抗體形成細胞	c=1 d=0.511709 t=12045
kang2 yuan2 	抗原	c=27 d=5.62935 t=12045
kang2 yuan2 biau3 wui4 	抗原表位	c=1 d=1 t=12045
kang2 yuan2 chu3 li3 	抗原處理	c=1 d=0.701173 t=12045
kang2 yuan2 cy4 ji1 	抗原刺激	c=1 d=0.489192 t=12045
kang2 yuan2 je1 heo2 bu4 wui4 	抗原結合部位	c=1 d=0.759572 t=12045
kang2 yuan2 shou4 ti3 	抗原受體	c=2 d=0.744532 t=12045
kang2 yuan2 sing4 	抗原性	c=1 d=0.839457 t=12045
kang2 yuan2 tai4 	抗原肽	c=5 d=2.40776 t=12045
kang2 yuan2 te2 yi4 sing4 	抗原特異性	c=1 d=0.256661 t=12045
kang2 yuan2 ti2 cheng2 	抗原提呈	c=2 d=1.27014 t=12045
kang2 yuan2 ti2 cheng2 fen1 zy3 	抗原提呈分子	c=1 d=0.600496 t=12045
kang2 yuan2 ti2 cheng2 si4 bau1 	抗原提呈細胞	c=2 d=0.600496 t=12045
kang2 zhung1 zhy3 yin1 zy3 	抗終止因子	c=1 d=0.99005 t=12045
kang2 zhung1 zhy3 zuo1 yung4 	抗終止作用	c=1 d=0.965605 t=12045
kau3 bei4 shuo1 	拷貝數	c=1 d=0.182684 t=12045
kau3 liu4 	考慮	c=6 d=0.932394 t=12045
kau3 qin2 	考勤	c=1 d=0.0352602 t=12045
kau3 rhou4 	烤肉	c=2 d=0.740818 t=12045
kau3 shy4 	考試	c=6 d=0.995012 t=12045
kau3 shy4 ti2 	考試題	c=1 d=0.0614212 t=12045
kau3 yan2 	考研	c=1 d=0.0175975 t=12045
kau4 	靠	c=4 d=0.603471 t=12045
ke1 fu2 	克服	c=1 d=0.079659 t=12045
ke1 liung2 	克隆	c=2 d=0.548812 t=12045
ke1 qi4 	客氣	c=1 d=0.0259911 t=12045
ke1 zuo4 jau1 shou4 	客座教授	c=1 d=0.99005 t=12045
ken3 ding4 	肯定	c=2 d=1.0771 t=12045
ken3 ni2 ya4 	肯尼亞	c=2 d=0.887633 t=12045
keng1 dui4 you3 	坑隊友	c=2 d=0.158227 t=12045
keo1 shei4 	瞌睡	c=2 d=0.129846 t=12045
keo1 shui4 	瞌睡	c=2 d=0.0651909 t=12045
keo3 	可	c=19 d=3.18615 t=12045
keo3 bian1 ma3 	可編碼	c=1 d=0.0893673 t=12045
keo3 bian4 	可變	c=0 d=0.134585 t=12045
keo3 bian4 qu1 	可變區	c=3 d=1.37795 t=12045
keo3 cing1 chu3 	可清楚	c=1 d=0.193013 t=12045
keo3 ding4 	可定	c=-1 d=0 t=12045
keo3 fen1 wui2 	可分爲	c=3 d=0.973158 t=12045
keo3 gui4 	可貴	c=1 d=0.181772 t=12045
keo3 hau3 	可好	c=1 d=0.279431 t=12045
keo3 neng2 	可能	c=16 d=0.819533 t=12045
keo3 shuo1 	可說	c=1 d=0.66365 t=12045
keo3 shy4 	可是	c=2 d=0.955997 t=12045
keo3 siuan3 	可選	c=1 d=0.0315873 t=12045
keo3 suan4 	可算	c=1 d=0.748264 t=12045
keo3 tung1 guo1 	可通過	c=1 d=0.451581 t=12045
keo3 wui4 	可謂	c=0 d=4.50569e-05 t=12045
keo3 yi3 	可以	c=38 d=3.10333 t=12045
keo3 yi3 shy4 	可以是	c=1 d=0.71177 t=12045
keo3 yi3 yung4 	可以用	c=1 d=0.144424 t=12045
keo3 you4 dau4 yin1 zy3 	可誘導因子	c=1 d=0.537944 t=12045
keo3 yung2 	可溶	c=0 d=0.0453845 t=12045
keo3 yung2 sing4 	可溶性	c=1 d=0.683724 t=12045
keo3 yung2 sing4 dan4 be2 zhy1 	可溶性蛋白質	c=1 d=0.167797 t=12045
keo3 yung2 xing2 	可溶型	c=1 d=0.45612 t=12045
keo3 yung4 yu1 	可用於	c=2 d=0.579842 t=12045
keo3 ziang1 	可將	c=3 d=1.8135 t=12045
kou3 	口	c=1 d=0.404542 t=12045
ku4 li3 	庫里	c=1 d=0.109154 t=12045
kua1 	誇	c=1 d=0.0168231 t=12045
kuai4 	快	c=2 d=0.865066 t=12045
kuai4 cian2 	塊錢	c=2 d=0.214832 t=12045
